title,genres,keywords,tagline,cast,director
No Strings Attached,Comedy Romance,father son relationship casual meeting student of medicine friends valentine,Friendship has its benefits.,Natalie Portman Ashton Kutcher Kevin Kline Cary Elwes Greta Gerwig,Ivan Reitman
Kinsey,Drama,free love sex sexuality indiana professor,Let's talk about sex,Liam Neeson Laura Linney Chris O'Donnell Peter Sarsgaard Timothy Hutton,Bill Condon
The Son of No One,Drama Thriller Crime,,Serve. Protect. Lie.,Channing Tatum Al Pacino Juliette Binoche Katie Holmes James Ransone,Dito Montiel
Spice World,Adventure Fantasy Drama Comedy Music,pop pop culture pop star,You say you want a revolution?,Victoria Beckham Melanie Brown Emma Bunton Melanie Chisholm Geri Halliwell,Bob Spiers
War,Action Thriller Crime,fbi revenge fbi agent,Vengeance is the ultimate weapon.,Jet Li Jason Statham John Lone Devon Aoki Luis Guzm\u00e1n,Philip G. Atwell
The Raid,Action Thriller Crime,crime boss tenement high rise monitor tower block,"1 Ruthless Crime Lord, 20 Elite Cops, 30 Floors of Hell",Iko Uwais Joe Taslim Donny Alamsyah Yayan Ruhian Ray Sahetapy,Gareth Evans
Argo,Drama Thriller,cia wife husband relationship document revolution hiding place,The movie was fake. The mission was real.,Ben Affleck Bryan Cranston Alan Arkin John Goodman Victor Garber,Ben Affleck
Take the Lead,Music,dancing master dance musical woman director,Never Follow,Antonio Banderas Rob Brown Yaya DaCosta Alfre Woodard John Ortiz,Liz Friedlander
Paranormal Activity: The Marked Ones,Horror Thriller,supernatural demon found footage,You're one of us now.,Andrew Jacobs Richard Cabral Carlos Pratts Eddie J. Fernandez Jorge Diaz,Christopher B. Landon
The Last Samurai,Drama Action War History,japan war crimes sense of guilt swordplay general,"In the face of an enemy, in the heart of one man, lies the soul of a warrior.",Tom Cruise Ken Watanabe William Atherton Chad Lindberg Billy Connolly,Edward Zwick
The Guru,Comedy Romance,sex indian lead dancing master new love porn actor,"When he talks, women listen.",Jimi Mistry Heather Graham Marisa Tomei Michael McKean Dash Mihok,Daisy von Scherler Mayer
