title,genres,keywords,tagline,cast,director
Gamer,Action Thriller Science Fiction,dystopia mind control gun battle wrongful imprisonment dystopic future,"In the near future, you don't live to play... you'll play to live.",Gerard Butler Michael C. Hall Logan Lerman Amber Valletta Terry Crews,Brian Taylor
American Splendor,Comedy Drama,biography independent film v.a. hospital junk sale jellybean,Ordinary life is pretty complex stuff,Paul Giamatti Hope Davis Judah Friedlander James Urbaniak Harvey Pekar,Shari Springer Berman
Chasing Mavericks,Drama,wave surfing sport mentor prot\u00e9g\u00e9 relationship santa cruz california,Legends Start Somewhere,Gerard Butler Jonny Weston Elisabeth Shue Abigail Spencer Leven Rambin,Curtis Hanson
The Perfect Storm,Drama,u.s. air force grocery jamaican meteorologist rescue boat,The storm is coming.,George Clooney Mark Wahlberg Diane Lane John C. Reilly William Fichtner,Wolfgang Petersen
Censored Voices,History Documentary,woman director,"The Six-Day War, Uncut.",Amos Oz,Mor Loushy
The Triplets of Belleville,Adventure Animation Comedy Drama,france kidnapping boy biker tour de france,,B\u00e9atrice Bonifassi Lina Boudreau Mich\u00e8le Caucheteux Jean-Claude Donda Mari-Lou Gauthier,Sylvain Chomet
Gone Girl,Mystery Thriller Drama,based on novel marriage crisis disappearance cheating husband missing person,You don't know what you've got 'til it's...,Ben Affleck Rosamund Pike Carrie Coon Neil Patrick Harris Tyler Perry,David Fincher
Topaz,Action Drama Mystery Thriller,new york cia cuba cold war suspense,Hitchcock takes you behind the actual headlines to expose the most explosive spy scandal of the century!,Frederick Stafford Dany Robin Claude Jade Michel Subor Karin Dor,Alfred Hitchcock
Red Tails,Drama Action Adventure History War,world war ii fighter pilot fighter plane,High-Octane Action and Daring Dogfights!,Bryan Cranston David Oyelowo Cuba Gooding Jr. Daniela Ruah Terrence Howard,Anthony Hemingway
There's Something About Mary,Romance Comedy,surgeon stalker romantic comedy dream girl taboo,Love Is In The Hair.,Cameron Diaz Ben Stiller Matt Dillon Lee Evans Chris Elliott,Bobby Farrelly
God's Not Dead 2,Drama,christian,,Hayley Orrantia Melissa Joan Hart Jesse Metcalfe David A.R. White Ray Wise,Harold Cronk
Se7en,Crime Mystery Thriller,self-fulfilling prophecy detective s.w.a.t. drug dealer evisceration,Seven deadly sins. Seven ways to die.,Brad Pitt Morgan Freeman Gwyneth Paltrow John C. McGinley Kevin Spacey,David Fincher
The Mirror Has Two Faces,Comedy Drama Romance,sex professor wedding woman director columbia university,A story about just how wrong two people can be before they can be right.,Barbra Streisand Jeff Bridges Lauren Bacall George Segal Mimi Rogers,Barbra Streisand
The Longshots,Drama Family,,,Ice Cube Keke Palmer Tasha Smith Jill Marie Jones Dash Mihok,Fred Durst
Megamind,Animation Action Comedy Family Science Fiction,saving the world date prison secret identity fish,His brain is off the chain.,Will Ferrell Brad Pitt Tina Fey Jonah Hill David Cross,Tom McGrath
Fear Clinic,Horror,phobia doctor fear,,Thomas Dekker Robert Englund Cleopatra Coleman Fiona Dourif Kevin Gage,Robert Hall
28 Days Later,Horror Thriller Science Fiction,london england manchester city submachine gun gas station survivor,His fear began when he woke up alone. His terror began when he realised he wasn't.,Cillian Murphy Naomie Harris Noah Huntley Christopher Dunne Emma Hitching,Danny Boyle
Savages,Crime Drama Thriller,widow american abroad eye gouging dea agent shot in the shoulder,Young Beautiful Deadly.,Blake Lively Taylor Kitsch Aaron Taylor-Johnson Benicio del Toro Salma Hayek,Oliver Stone
The Good Girl,Drama Comedy Romance,suicide sex jealousy dream blackmail,It's her last best chance... is she going to take it?,Jennifer Aniston Jake Gyllenhaal Zooey Deschanel John C. Reilly Deborah Rush,Miguel Arteta
National Lampoon's Loaded Weapon 1,Comedy,cocaine police spoof los angeles,See it before they make the sequel!,Emilio Estevez Samuel L. Jackson Jon Lovitz Tim Curry Kathy Ireland,Gene Quintano
Pushing Tin,Comedy Drama,competition airport air controller adversary,A comedy about losing control,John Cusack Billy Bob Thornton Cate Blanchett Angelina Jolie Gene Dinovi,Mike Newell
Bridge of Spies,Thriller Drama,spy cia cold war soviet union pilot,"In the shadow of war, one man showed the world what we stood for.",Tom Hanks Mark Rylance Amy Ryan Alan Alda Sebastian Koch,Steven Spielberg
Iron Man,Action Science Fiction Adventure,middle east arms dealer malibu marvel comic superhero,Heroes aren't born. They're built.,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,Jon Favreau
xXx,Action Adventure Thriller,sports car biological weapon cold war russian prague,A New Breed Of Secret Agent.,Vin Diesel Asia Argento Samuel L. Jackson Danny Trejo Leila Arcieri,Rob Cohen
Romance & Cigarettes,Comedy Music Romance,infidelity lovers working class new york city,,James Gandolfini Susan Sarandon Kate Winslet Steve Buscemi Mandy Moore,John Turturro
Inception,Action Thriller Science Fiction Mystery Adventure,loss of lover dream kidnapping sleep subconsciousness,Your mind is the scene of the crime.,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Hardy Ken Watanabe,Christopher Nolan
The Iron Giant,Adventure Animation Family Fantasy Science Fiction,cold war friendship giant robot sitting on a toilet fear of unknown,It came from outer space!,Eli Marienthal Jennifer Aniston Vin Diesel Christopher McDonald Harry Connick Jr.,Brad Bird
Mission: Impossible III,Adventure Action Thriller,berlin cia vatican white house secret identity,The Mission Begins 05:05:06.,Tom Cruise Philip Seymour Hoffman Ving Rhames Billy Crudup Jonathan Rhys Meyers,J.J. Abrams
The Soloist,Drama,newspaper cello musical violin los angeles,Life has a mind of its own,Robert Downey Jr. Jamie Foxx Catherine Keener Nelsan Ellis Michael Bunin,Joe Wright
The Conversation,Crime Drama Mystery,san francisco paranoia audio tape wiretap shadowing,Harry Caul is an invader of privacy. The best in the business.,Gene Hackman John Cazale Frederic Forrest Cindy Williams Harrison Ford,Francis Ford Coppola
Swing Vote,Drama Comedy,usa president presidential election fox news,One ordinary guy is giving the candidates a reason to run.,Kevin Costner Madeline Carroll Paula Patton Kelsey Grammer Dennis Hopper,Joshua Michael Stern
Drag Me to Hell,Horror Thriller,gypsy work gore curse psychologist,"Christine Brown has a good job, a great boyfriend, and a bright future. But in three days, she's going to hell.",Alison Lohman Justin Long Lorna Raver Dileep Rao David Paymer,Sam Raimi
Best in Show,Comedy,illinois pet shop poodle independent film mockumentary,Some pets deserve a little more respect than others.,Jay Brazeau Parker Posey Michael Hitchcock Catherine O'Hara Eugene Levy,Christopher Guest
Lethal Weapon 3,Adventure Action Comedy Thriller Crime,rookie cop dog biscuit shooting practice sitting on a toilet judo throw,The magic is back again!,Mel Gibson Danny Glover Joe Pesci Rene Russo Stuart Wilson,Richard Donner
Quartet,Drama Comedy Romance,musician concert retired,Four Friends Looking For A Little Harmony,Maggie Smith Tom Courtenay Billy Connolly Pauline Collins Michael Gambon,Dustin Hoffman
Déjà Vu,Romance Drama,love american pin stranger ruby,Your future is set...,Stephen Dillane Victoria Foyt Vanessa Redgrave Michael Brandon Glynis Barber,Henry Jaglom
Good Deeds,Comedy Drama Romance,african american single mother fianc\u00e9 fianc\u00e9e relationship corporation rich man - poor woman,Wesley Deeds is About to Discover the Person He Was Meant to Be.,Tyler Perry Phylicia Rash\u0101d Thandie Newton Brian J. White Gabrielle Union,Tyler Perry
Flatliners,Drama Horror Science Fiction Thriller,life and death afterlife swing memory medical student,Some lines shouldn't be crossed.,Kiefer Sutherland Julia Roberts Kevin Bacon William Baldwin Oliver Platt,Joel Schumacher
How to Lose Friends & Alienate People,Comedy Romance Drama,failure starlet,"He's across the pond, and out of his depth.",Kelan Pannell Janette Scott Simon Pegg Megan Fox Gillian Anderson,Robert B. Weide
Bad Company,Action Adventure Comedy Thriller,ambush cia assassin nightclub hustler,Two Mismatched Partners. One Messed Up Case!,Anthony Hopkins Chris Rock Peter Stormare Gabriel Macht Kerry Washington,Joel Schumacher
Entrapment,Romance Drama Mystery,london england new year's eve skyscraper burglar distrust,The trap is set.,Sean Connery Catherine Zeta-Jones Will Patton Maury Chaykin Ving Rhames,Jon Amiel
Flubber,Comedy Family Science Fiction,wedding vows inventor slime green flight,Catch it if you can!,Robin Williams Marcia Gay Harden Christopher McDonald Raymond J. Barry Clancy Brown,Les Mayfield
The Jacket,Drama Mystery Thriller Fantasy,smoking medicine psychology hallucination human experimentation,Terror has a new name.,Adrien Brody Keira Knightley Kris Kristofferson Jennifer Jason Leigh Kelly Lynch,John Maybury
Holes,Adventure Family Drama Comedy,curse suitor false accusations reference to annabel lee digging,Some secrets are too big to keep hidden.,Sigourney Weaver Jon Voight Tim Blake Nelson Patricia Arquette Shia LaBeouf,Andrew Davis
Reno 911!: Miami,Action Adventure Comedy Crime,sex terrorist beach nudity police,"In a time of crisis, America will call Reno 911!",Lennie Loftin Danny DeVito Ben Garant Carlos Alazraqui Mary Birdsong,Ben Garant
The Pacifier,Action Comedy Drama Family Thriller,bodybuilder children body guard scientist family,Welcome to the infantry.,Vin Diesel Lauren Graham Faith Ford Chris Potter Brittany Snow,Adam Shankman
The Boy in the Striped Pyjamas,War Drama,nationalism concentration camp world war ii gas chamber nazis,"Lines may divide us, but hope will unite us.",Asa Butterfield Jack Scanlon Vera Farmiga David Thewlis Rupert Friend,Mark Herman
A Dog Of Flanders,Drama Family,,,Jack Warden Jeremy James Kissner Jesse James Jon Voight Cheryl Ladd,Kevin Brodie
The Neon Demon,Thriller Horror,model,Beauty is vicious.,Elle Fanning Karl Glusman Jena Malone Bella Heathcote Abbey Lee,Nicolas Winding Refn
Men in Black II,Action Adventure Comedy Science Fiction,saving the world secret identity sun glasses undercover space marine,Same Planet. New Scum.,Tommy Lee Jones Will Smith Rip Torn Lara Flynn Boyle Johnny Knoxville,Barry Sonnenfeld
Desert Blue,Comedy Drama,bomb fire fbi quarantine independent film,"Once You Get There, You'll Never Want To Leave",Casey Affleck Kate Hudson Brendan Sexton III Christina Ricci Ethan Suplee,Morgan J. Freeman
Safe Haven,Romance,based on novel small town widower single father abusive husband,You know it when you find it,Julianne Hough Josh Duhamel Cobie Smulders David Lyons Mike Pniewski,Lasse Hallstr\u00f6m
Death Race 2000,Action Comedy Science Fiction,dystopia street race reality spoof,A Cross Country Road Wreck!,David Carradine Simone Griffeth Sylvester Stallone Mary Woronov Roberta Collins,Paul Bartel
Frankenweenie,Animation Comedy Family,shyness stop motion black and white retro dog,The electrifying dog is back from beyond the grave,Charlie Tahan Catherine O'Hara Martin Short Martin Landau Atticus Shaffer,Tim Burton
Self/less,Science Fiction Mystery Thriller,lie immortality terminal illness laboratory cancer,God Created Man. Man Created Immortality.,Ryan Reynolds Ben Kingsley Natalie Martinez Matthew Goode Michelle Dockery,Tarsem Singh
Six Days Seven Nights,Action Adventure Comedy Romance,overleven family guy,"After this week in paradise, they’re going to need a vacation.",Harrison Ford Anne Heche David Schwimmer Jacqueline Obradors Temuera Morrison,Ivan Reitman
Proud,Drama,woman director,Proudly We Served,Vernel Bagneris Marcus Chait Michael Ciesla,Mary Pat Kelly
Sleepover,Comedy Family,high school scavenger hunt teenage crush slumber party teenager,The rules are set. The game is on.,Alexa PenaVega Mika Boorem Jane Lynch Sara Paxton Brie Larson,Joe Nussbaum
Employee of the Month,Comedy Romance,salesclerk midlife crisis prenzlauer berg vulgar slacker,"A slacker competes with a repeat winner for the ""Employee of the Month"" title at work",Dane Cook Jessica Simpson Dax Shepard Andy Dick Tim Bagley,Greg Coolidge
Mortal Kombat,Action Fantasy,martial arts monster island gore sorcerer,Nothing In This World Has Prepared You For This.,Christopher Lambert Robin Shou Linden Ashby Cary-Hiroyuki Tagawa Bridgette Wilson,Paul W.S. Anderson
The Greatest,Drama,woman director,,Pierce Brosnan Susan Sarandon Carey Mulligan Aaron Taylor-Johnson Johnny Simmons,Shana Feste
Gravity,Science Fiction Thriller Drama,space mission loss space astronaut trapped in space,Don't Let Go,Sandra Bullock George Clooney Ed Harris Orto Ignatiussen Phaldut Sharma,Alfonso Cuar\u00f3n
Carousel of Revenge,Thriller Mystery,,,Erik Allen Randy Baranczyk Chris Carlson Ben Coler Nancy Crocker,Gene Teigland
What Happens in Vegas,Comedy Romance,casino hotel roommate fictitious marriage romantic comedy,Get Lucky,Ashton Kutcher Cameron Diaz Lake Bell Queen Latifah Treat Williams,Tom Vaughan
The East,Drama Thriller,secret organization murder environmentalism vanity film eco-terrorists,"Spy on us, we'll spy on you.",Brit Marling Alexander Skarsg\u00e5rd Ellen Page Toby Kebbell Shiloh Fernandez,Zal Batmanglij
Endless Love,Drama Romance,teenage romance,Say Goodbye to Innocence,Alex Pettyfer Gabriella Wilde Robert Patrick Rhys Wakefield Emma Rigby,Shana Feste
Spawn,Action Adventure Fantasy Horror Science Fiction,anti hero secret agent fistfight based on comic book burn victim,Born in darkness. Sworn to justice.,Michael Jai White Martin Sheen John Leguizamo Theresa Randle Nicol Williamson,Mark A.Z. Dipp\u00e9
Trainwreck,Comedy,alcohol one-night stand,We All Know One.,Amy Schumer Bill Hader Brie Larson Colin Quinn Vanessa Bayer,Judd Apatow
Hollywood Shuffle,Comedy,black people ethnic stereotype,"Bobby Taylor was on his way to becoming a star, when a funny thing happened...",Robert Townsend Craigus R. Johnson Helen Martin Starletta DuPois Keenen Ivory Wayans,Robert Townsend
The Elephant Man,Drama History,exploitation biography hospital curiosity sideshow,I am not an animal! I am a human being! I... am... a man!,Anthony Hopkins John Hurt Anne Bancroft John Gielgud Wendy Hiller,David Lynch
Street Kings,Action Crime Drama Thriller,police los angeles,Their city. Their rules. No prisoners.,Keanu Reeves Forest Whitaker Chris Evans Hugh Laurie Martha Higareda,David Ayer
The Virginity Hit,Comedy,loss of virginity teenage boy teen comedy teenage sexuality found footage,,Matt Bennett Zack Pearlman Jacob Davich Justin Kline Krysta Rodriguez,Huck Botko
Northfork,Fantasy Drama Science Fiction,,,James Woods Nick Nolte Claire Forlani Daryl Hannah Douglas Sebern,Michael Polish
Indiana Jones and the Temple of Doom,Adventure Action,riddle treasure heart skeleton treasure hunt,If adventure has a name... it must be Indiana Jones.,Harrison Ford Kate Capshaw Jonathan Ke Quan Amrish Puri Roshan Seth,Steven Spielberg
Exit Wounds,Action Crime Thriller,corruption scandal shadowing police,This Is Gonna Hurt,Steven Seagal DMX Isaiah Washington Anthony Anderson Bill Duke,Andrzej Bartkowiak
N-Secure,Drama Crime Thriller,,,Cordell Moore Essence Atkins Denise Boutte Tempestt Bledsoe Lamman Rucker,David M. Matthews
Barry Munday,Comedy Drama Romance,based on novel letter paternity castration doctor,A comedy that hits you right where it counts.,Patrick Wilson Malcolm McDowell Judy Greer Chlo\u00eb Sevigny Missi Pyle,Chris D'Arienzo
Nowhere in Africa,Drama,loss of family emigration world war ii jew national socialism,One family's tale of a homeland lost... and a homeland found.,Juliane K\u00f6hler Merab Ninidze Sidede Onyulo Matthias Habich Lea Kurka,Caroline Link
